Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
Alamo Area Council of Governments,San Antonio,TX,60130,"MPO, COG or Other Planning Agency",Full Reporter,61948,"New Braunfels, TX","100,736",45,DR,DO,45.00,0.00,,258554.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2059180.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.96,,,,,,,,,,,
Alaska Railroad Corporation,Anchorage,AK,41,State Government Unit or Department of Transportation,Full Reporter,2305,"Anchorage, AK","249,252",60,AR,DO,60.00,863824.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1478276.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1.71,,,,,,,,,,,,,
Altamont Corridor Express,Stockton,CA,90182,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",27,CR,PT,27.00,480481.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,222535.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.46,,,,,,,,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,40094,State Government Unit or Department of Transportation,Full Reporter,79093,"San Juan, PR","1,844,410",57,MB,PT,24.00,288411.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,891628.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.09,,,,,,,,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,40094,State Government Unit or Department of Transportation,Full Reporter,79093,"San Juan, PR","1,844,410",57,DR,PT,1.00,244.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,452274.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1853.58,,,,,,,,,,,,,
Alternativa de Transporte Integrado -ATI,San Juan,PR,40094,State Government Unit or Department of Transportation,Full Reporter,79093,"San Juan, PR","1,844,410",57,HR,PT,32.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5373722.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1841590.00,,0.00,,,,,,,,,,,,0.34,,,
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,30011,Independent Public Agency or Authority of Transit Service,Full Reporter,1792,"Altoona, PA","74,426",33,MB,DO,20.00,5240.00,,0.00,,0.00,,165175.00,,0.00,,0.00,,0.00,,0.00,,27442.00,,0.00,,0.00,,559499.00,,0.00,,0.00,,0.00,,5.24,,,,,,,,,,,,,
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,30011,Independent Public Agency or Authority of Transit Service,Full Reporter,1792,"Altoona, PA","74,426",33,DR,DO,1.00,0.00,,68.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,777.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,11.43,,,,,,,,,,,
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,30011,Independent Public Agency or Authority of Transit Service,Full Reporter,1792,"Altoona, PA","74,426",33,DR,PT,12.00,0.00,,7206.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
"Ames Transit Agency, dba: CyRide",Ames,IA,70041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2062,"Ames, IA","66,342",58,MB,DO,58.00,312219.00,,13015.00,,0.00,,0.00,,24697.00,,0.00,,0.00,,0.00,,1364676.00,,30587.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.37,,2.35,,,,,,,,,,,
Anaheim Transportation Network,Anaheim,CA,90211,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",47,DR,PT,9.00,0.00,,0.00,,0.00,,10392.00,,0.00,,0.00,,0.00,,285094.00,,0.00,,0.00,,0.00,,267346.00,,0.00,,0.00,,1235096.00,,,,,,,,,,,,,,4.33,
Anaheim Transportation Network,Anaheim,CA,90211,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",47,MB,PT,38.00,0.00,,0.00,,0.00,,24247.00,,0.00,,0.00,,0.00,,1496744.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,77246.00,,,,,,,,,,,,,,0.05,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2602,"Ann Arbor, MI","317,689",227,DR,PT,38.00,29891.00,,63343.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,226440.00,,1160408.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.58,,18.32,,,,,,,,,,,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2602,"Ann Arbor, MI","317,689",227,DR,TX,4.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2602,"Ann Arbor, MI","317,689",227,MB,DO,75.00,726559.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3296700.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.54,,,,,,,,,,,,,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2602,"Ann Arbor, MI","317,689",227,VP,PT,107.00,0.00,,64950.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1766814.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,27.20,,,,,,,,,,,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2602,"Ann Arbor, MI","317,689",227,CB,PT,3.00,60416.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,462355.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.65,,,,,,,,,,,,,
Anne Arundel County,Annapolis,MD,30129,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4843,"Baltimore, MD","2,212,038",31,DR,PT,24.00,0.00,,130255.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1460002.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,11.21,,,,,,,,,,,
Anne Arundel County,Annapolis,MD,30129,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4843,"Baltimore, MD","2,212,038",31,MB,PT,7.00,0.00,,112132.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,67140,"Palmdale--Lancaster, CA","359,559",88,CB,PT,20.00,1992755.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,570231.00,,425370.00,,0.00,,0.00,,0.00,,0.00,,0.00,,279162.00,,0.21,,,,,,,,,,,,0.49,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,67140,"Palmdale--Lancaster, CA","359,559",88,DR,PT,19.00,0.00,,32178.00,,0.00,,0.00,,0.00,,0.00,,0.00,,326293.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,375037.00,,,,0.00,,,,,,,,,,1.15,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,67140,"Palmdale--Lancaster, CA","359,559",88,MB,PT,49.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6403316.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2355719.00,,,,,,,,,,,,,,0.37,
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,30080,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",71,DR,PT,8.00,0.00,,19229.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,206863.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,10.76,,,,,,,,,,,
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,30080,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",71,DR,TX,13.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,30080,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",71,MB,PT,50.00,0.00,,0.00,,0.00,,725362.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2105166.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,40047,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3763,"Athens-Clarke County, GA","143,213",19,DR,DO,3.00,0.00,,20549.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,133132.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.48,,,,,,,,,,,
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,40047,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3763,"Athens-Clarke County, GA","143,213",19,MB,DO,16.00,182598.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,807259.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.42,,,,,,,,,,,,,
Atlanta-Region Transit Link Authority,Atlanta,GA,42000,State Government Unit or Department of Transportation,Full Reporter,3817,"Atlanta, GA","5,100,112",239,CB,PT,104.00,566429.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3674169.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.49,,,,,,,,,,,,,
Atlanta-Region Transit Link Authority,Atlanta,GA,42000,State Government Unit or Department of Transportation,Full Reporter,3817,"Atlanta, GA","5,100,112",239,VP,PT,135.00,0.00,,137352.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1794176.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,13.06,,,,,,,,,,,
"Audubon Area Community Services, Inc.",Owensboro,KY,41105,Private-Non-Profit Corporation,Full Reporter,66484,"Owensboro, KY","76,433",44,DR,DO,44.00,0.00,,183156.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,435.00,,1051808.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.74,,,,,,,,,,,
Augusta Richmond County Transit Department,Augusta,GA,40023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4222,"Augusta-Richmond County, GA--SC","431,480",19,MB,PT,12.00,116288.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,456624.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.93,,,,,,,,,,,,,
Augusta Richmond County Transit Department,Augusta,GA,40023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4222,"Augusta-Richmond County, GA--SC","431,480",19,DR,PT,7.00,19145.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,174253.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,9.10,,,,,,,,,,,,,
"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Bay Minette,AL,40928,"City, County or Local Government Unit or Department of Transportation",Full Reporter,28766,"Fairhope--Daphne, AL","76,807",30,DR,DO,30.00,0.00,,134134.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1038838.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.74,,,,,,,,,,,
"Bay County Transportation Planning Organization, dba: Bayway",Panama City,FL,40185,"MPO, COG or Other Planning Agency",Full Reporter,67305,"Panama City--Panama City Beach, FL","162,060",26,DR,PT,14.00,0.00,,57503.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,65371.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,1.14,,,,,,,,,,,
"Bay County Transportation Planning Organization, dba: Bayway",Panama City,FL,40185,"MPO, COG or Other Planning Agency",Full Reporter,67305,"Panama City--Panama City Beach, FL","162,060",26,MB,PT,12.00,91516.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,522115.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.71,,,,,,,,,,,,,
Bay Metropolitan Transit Authority,Bay City,MI,50029,Independent Public Agency or Authority of Transit Service,Full Reporter,5869,"Bay City, MI","68,472",50,MB,DO,36.00,98015.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,677399.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.91,,,,,,,,,,,,,
Bay Metropolitan Transit Authority,Bay City,MI,50029,Independent Public Agency or Authority of Transit Service,Full Reporter,5869,"Bay City, MI","68,472",50,DR,DO,14.00,50493.00,,0.00,,13162.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333390.00,,0.00,,61222.00,,0.00,,61222.00,,0.00,,0.00,,6.60,,,,4.65,,,,,,,,,
"Bay State LLC, dba: Bay State Cruise Company",Boston,MA,11238,Private-For-Profit Corporation,Full Reporter,9271,"Boston, MA--NH","4,382,009",3,FB,DO,3.00,276933.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56980.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.21,,,,,,,,,,,,,
Beaver County Transit Authority,Rochester,PA,30023,Independent Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",30,DR,DO,17.00,0.00,,65328.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,494716.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.57,,,,,,,,,,,
Beaver County Transit Authority,Rochester,PA,30023,Independent Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",30,MB,DO,13.00,36072.00,,5551.00,,0.00,,131916.00,,0.00,,0.00,,0.00,,0.00,,154867.00,,41821.00,,0.00,,500616.00,,0.00,,0.00,,0.00,,4.29,,7.53,,,,,,,,,,,
Ben Franklin Transit,Richland,WA,18,Independent Public Agency or Authority of Transit Service,Full Reporter,44479,"Kennewick--Richland--Pasco, WA","255,401",268,VP,DO,117.00,0.00,,99207.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1455418.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,14.67,,,,,,,,,,,
Ben Franklin Transit,Richland,WA,18,Independent Public Agency or Authority of Transit Service,Full Reporter,44479,"Kennewick--Richland--Pasco, WA","255,401",268,DR,DO,65.00,0.00,,250628.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1955127.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.80,,,,,,,,,,,
Ben Franklin Transit,Richland,WA,18,Independent Public Agency or Authority of Transit Service,Full Reporter,44479,"Kennewick--Richland--Pasco, WA","255,401",268,DR,PT,35.00,0.00,,19009.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1458206.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,76.71,,,,,,,,,,,
Ben Franklin Transit,Richland,WA,18,Independent Public Agency or Authority of Transit Service,Full Reporter,44479,"Kennewick--Richland--Pasco, WA","255,401",268,MB,DO,51.00,678312.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3705899.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1.00,,5.46,,,,,,,,,,,,,
"Bergen County, dba: Bergen County Community Transportation",Hackensack,NJ,20192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",47,DR,DO,43.00,0.00,,79229.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,559956.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.07,,,,,,,,,,,
"Bergen County, dba: Bergen County Community Transportation",Hackensack,NJ,20192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",47,MB,DO,4.00,0.00,,9531.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,67360.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.07,,,,,,,,,,,
Berkshire Regional Transit Authority,Pittsfield,MA,10007,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,69778,"Pittsfield, MA","50,720",27,DR,PT,10.00,0.00,,30029.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,200521.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.68,,,,,,,,,,,
Berkshire Regional Transit Authority,Pittsfield,MA,10007,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,69778,"Pittsfield, MA","50,720",27,MB,PT,17.00,55215.00,,70474.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,342275.00,,538455.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.20,,7.64,,,,,,,,,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,DR,DO,102.00,0.00,,107222.00,,0.00,,0.00,,339022.00,,0.00,,0.00,,0.00,,2976630.00,,1314640.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,12.26,,,,,,,,,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,LR,DO,42.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,34571565.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5663216.00,,0.00,,,,,,,,,,,,0.16,,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Independent Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,MB,DO,321.00,0.00,,0.00,,0.00,,0.00,,3120784.00,,0.00,,0.00,,1520640.00,,15337866.00,,0.00,,0.00,,0.00,,0.00,,0.00,,452553.00,,,,,,,,,,,,,,0.30,
Birmingham-Jefferson County Transit Authority,Birmingham,AL,40042,Independent Public Agency or Authority of Transit Service,Full Reporter,7786,"Birmingham, AL","774,956",94,DR,DO,24.00,0.00,,20023.00,,0.00,,134618.00,,0.00,,0.00,,0.00,,0.00,,0.00,,176893.00,,0.00,,745630.00,,0.00,,0.00,,0.00,,,,8.83,,,,,,,,,,,
Birmingham-Jefferson County Transit Authority,Birmingham,AL,40042,Independent Public Agency or Authority of Transit Service,Full Reporter,7786,"Birmingham, AL","774,956",94,MB,DO,70.00,2455.00,,0.00,,0.00,,613418.00,,0.00,,0.00,,0.00,,0.00,,10182.00,,0.00,,0.00,,1668498.00,,0.00,,0.00,,8456.00,,4.15,,,,,,,,,,,,,
Bloomington Public Transportation Corporation,Bloomington,IN,50110,Independent Public Agency or Authority of Transit Service,Full Reporter,8380,"Bloomington, IN","110,103",31,DR,DO,6.00,0.00,,19337.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,102933.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.32,,,,,,,,,,,
Bloomington Public Transportation Corporation,Bloomington,IN,50110,Independent Public Agency or Authority of Transit Service,Full Reporter,8380,"Bloomington, IN","110,103",31,MB,DO,25.00,220715.00,,4148.00,,0.00,,0.00,,0.00,,0.00,,0.00,,87966.00,,887069.00,,0.00,,0.00,,0.00,,0.00,,0.00,,15121.00,,4.02,,0.00,,,,,,,,,,0.17,
Bloomington-Normal Public Transit System,Normal,IL,50047,Independent Public Agency or Authority of Transit Service,Full Reporter,8407,"Bloomington--Normal, IL","134,100",45,DR,DO,19.00,0.00,,67825.00,,13050.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,388501.00,,51801.00,,0.00,,51801.00,,0.00,,0.00,,,,5.73,,3.97,,,,,,,,,
Bloomington-Normal Public Transit System,Normal,IL,50047,Independent Public Agency or Authority of Transit Service,Full Reporter,8407,"Bloomington--Normal, IL","134,100",45,MB,DO,26.00,0.00,,0.00,,0.00,,0.00,,267965.00,,0.00,,0.00,,47520.00,,1234873.00,,0.00,,0.00,,0.00,,0.00,,0.00,,24316.00,,,,,,,,,,,,,,0.51,
